front,back
"What are the key considerations when building a component library from scratch?","1) Token architecture: primitive, semantic, and component-level tokens. 2) API design: composition over configuration, consistent prop naming. 3) Accessibility: WCAG AA minimum, keyboard nav, screen reader support. 4) Styling strategy: CSS modules, Tailwind, or CSS-in-JS, with theming support. 5) Documentation: Storybook with interactive examples. 6) Testing: unit, integration, visual regression, a11y audits. 7) Versioning: semver, changelogs, migration guides. 8) Tree-shaking: ensure unused components are not bundled."
"How does the browser rendering pipeline work?","Parse HTML to build DOM tree. Parse CSS to build CSSOM. Combine into Render tree (only visible elements). Layout: calculate position and size of each element. Paint: fill in pixels (text, colours, images, borders). Composite: combine painted layers into final image. Reflow (layout recalculation) is expensive: triggered by changing dimensions, adding/removing elements. Repaint is cheaper: triggered by colour changes, visibility. Compositing is cheapest: triggered by transform, opacity changes."
"Explain the React hooks rules and why they exist.","Two rules: 1) Only call hooks at the top level, never inside conditions, loops, or nested functions. 2) Only call hooks from React function components or custom hooks. These rules exist because React relies on the ORDER of hook calls to associate state with the correct hook between renders. If you conditionally call a hook, the order changes and React gets confused about which state belongs to which hook. The ESLint plugin eslint-plugin-react-hooks enforces these rules."
"What is tree shaking and how do you ensure your code is tree-shakeable?","Tree shaking is dead code elimination: bundlers (webpack, Rollup, esbuild) remove unused exports from the final bundle. To ensure tree-shakeability: use ES modules (import/export, not require/module.exports). Mark packages as side-effect-free in package.json (sideEffects: false). Avoid side effects at module scope. Export individual functions instead of large objects. Use named exports over default exports. Avoid re-exporting entire modules (barrel files can hurt if not configured properly)."
"How would you implement dark mode in a design system?","Use CSS custom properties for all colours, mapping semantic tokens to light/dark values. Toggle via a data attribute on the root element (data-theme='dark') or prefers-color-scheme media query. Store user preference in localStorage, fall back to system preference. Transition colours smoothly with CSS transitions on the custom properties. Consider: images may need different versions or filters, shadows need adjustment, and some colours that work in light mode have poor contrast in dark mode."
"What is the stacking context in CSS and how does z-index work?","A stacking context is a three-dimensional conceptualisation of HTML elements along the z-axis. Created by: root element, positioned elements with z-index, opacity less than 1, transform/filter/perspective properties, and more. z-index only works on positioned elements (relative, absolute, fixed, sticky) and flex/grid children. z-index values are scoped to their stacking context: z-index 999 inside a lower stacking context still appears behind z-index 1 in a higher stacking context."
"Explain React's useCallback and useMemo. When should you actually use them?","useMemo caches a computed value between renders. useCallback caches a function reference. Use useMemo when a calculation is genuinely expensive (filtering/sorting large lists, complex math). Use useCallback when passing callbacks to memoised child components (wrapped in React.memo) to prevent unnecessary re-renders. Do NOT use them everywhere: the overhead of memoisation often exceeds the cost of recalculation. Profile first, optimise second. React Compiler (React 19+) aims to make manual memoisation unnecessary."
"How do you handle forms in React? Compare approaches.","Native HTML forms with FormData: simplest, works without JavaScript, good for progressive enhancement. Controlled components: React state per field, real-time validation, but verbose. React Hook Form: uncontrolled under the hood with refs, minimal re-renders, great DX with register/handleSubmit/watch. Zod + React Hook Form: schema-based validation, type-safe, single source of truth for validation rules. Server Actions (Next.js): form submissions handled server-side, progressive enhancement built in."
"What are Web Components and how do they compare to React components?","Web Components are browser-native: Custom Elements (define new HTML tags), Shadow DOM (encapsulated styles and markup), HTML Templates (inert markup for cloning). They work without a framework and are framework-agnostic. React components are virtual DOM based, use JSX, have richer state management and ecosystem. Trade-offs: Web Components have true style encapsulation but worse DX, limited state management, and no SSR story. React has better tooling, ecosystem, and DX but requires a runtime. They can coexist: React can render Web Components and vice versa."
"Explain CSS animations vs JavaScript animations. When would you use each?","CSS animations: hardware-accelerated for transform and opacity, declarative, simple to implement, better performance for simple transitions. Use for hover effects, loading spinners, page transitions. JavaScript animations: imperative control, can respond to dynamic values, can be paused/reversed/chained programmatically. Use for complex sequences, physics-based motion, scroll-driven animations, or when you need to coordinate with state. Libraries: Framer Motion (React), GSAP (framework-agnostic). Web Animations API bridges both worlds."
